fold,held_out_prompt,model,train_prompts,validation_prompts,validation_cases,policy_mip,oracle_action_accuracy,oracle_set_accuracy,top2_action_accuracy,utility_mse,utility_mae,mean_case_spearman,mean_case_pairwise_accuracy
0,pku_round0_00058,classifier_logistic,11,1,5,0.6842650206916933,0.6,0.6,0.6,,,,
0,pku_round0_00058,utility_ridge,11,1,5,0.7155994169062395,0.6,0.6,0.6,0.01066915959992725,0.08806381740352712,0.5752382172124237,0.7507526547526547
1,pku_round0_00094,classifier_logistic,11,1,5,0.6390015264771784,0.2,0.2,0.8,,,,
1,pku_round0_00094,utility_ridge,11,1,5,0.6458367132487233,0.2,0.4,0.2,0.0040711185382424865,0.0520994615613008,0.21300324511631713,0.5697197539302803
2,pku_round0_00115,classifier_logistic,11,1,5,0.5855331848551462,0.0,0.0,0.0,,,,
2,pku_round0_00115,utility_ridge,11,1,5,0.5769683598467525,0.0,0.0,0.0,0.02164384975628201,0.12234865786519525,-0.5369657769223715,0.256
3,pku_round0_00123,classifier_logistic,11,1,5,0.58469030487715,0.4,0.4,0.4,,,,
3,pku_round0_00123,utility_ridge,11,1,5,0.5845175546088256,0.2,0.2,0.6,0.0129653270808146,0.09869350494325264,-0.06009734465499246,0.4332709030100334
4,pku_round0_00126,classifier_logistic,11,1,5,0.5153921151825198,0.4,0.4,0.8,,,,
4,pku_round0_00126,utility_ridge,11,1,5,0.6216574785936709,0.2,0.4,0.4,0.01848103922377096,0.11281018801030425,0.4477114704305243,0.6852813852813853
5,pku_round0_00146,classifier_logistic,11,1,5,0.6561755436013015,0.4,0.4,0.4,,,,
5,pku_round0_00146,utility_ridge,11,1,5,0.5645268060333296,0.2,0.2,0.2,0.026515423183502092,0.1429981943194226,-0.5020360287850807,0.3081515151515152
6,pku_round0_00198,classifier_logistic,11,1,5,0.6381174057727378,0.2,0.2,0.6,,,,
6,pku_round0_00198,utility_ridge,11,1,5,0.6171419391110516,0.0,0.0,0.0,0.02638131125410016,0.12435099227822159,-0.35082640266484627,0.304040404040404
7,pku_round0_00203,classifier_logistic,11,1,5,0.4257134067963655,0.0,0.0,0.6,,,,
7,pku_round0_00203,utility_ridge,11,1,5,0.4257134067963655,0.0,0.0,0.0,0.06209748044185465,0.21576609063853258,-0.48623626233678313,0.31111111111111106
8,pku_round0_00209,classifier_logistic,11,1,5,0.601995492133657,0.2,0.2,0.4,,,,
8,pku_round0_00209,utility_ridge,11,1,5,0.6076021334810331,0.4,0.4,0.6,0.01256940942812965,0.09353473095617935,-0.3348485510250151,0.34545454545454546
9,pku_round0_00217,classifier_logistic,11,1,5,0.7215003246542724,0.0,0.2,0.0,,,,
9,pku_round0_00217,utility_ridge,11,1,5,0.7728657393609476,0.2,0.4,0.4,0.006098768919282092,0.061620845862732934,0.827917227006591,0.905622009569378
10,pku_round0_00233,classifier_logistic,11,1,5,0.4031455051450993,0.0,0.0,0.4,,,,
10,pku_round0_00233,utility_ridge,11,1,5,0.5621424309915135,0.0,0.0,0.2,0.033825220671615655,0.16219318672270192,0.10595905567079437,0.5524761904761905
11,pku_round0_00250,classifier_logistic,11,1,5,0.7153708255373108,0.4,0.4,0.6,,,,
11,pku_round0_00250,utility_ridge,11,1,5,0.7153708255373108,0.4,0.4,0.6,0.036008051792552634,0.15382970706130533,0.18264466419546274,0.6090909090909091
