state_id,case_id,sample_id,alpha_helpfulness,alpha_harmlessness,position_bin,oracle_weight,oracle_tied_weights,oracle_mip,fixed_w1_mip,oracle_gain,utility_spread,all_weights_same_next_token
f60_a0_p00_s00,f60_a0_p00,pku_round0_00058,1.0,0.0,00,0.5,"[0.5, 0.75, 1.0]",0.5466586003500206,0.5466586003500206,0.0,0.14948793293433876,False
f60_a0_p00_s01,f60_a0_p00,pku_round0_00058,1.0,0.0,01,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.3639511267636065,0.3639511267636065,0.0,0.0,True
f60_a0_p00_s02,f60_a0_p00,pku_round0_00058,1.0,0.0,02,0.25,"[0.25, 0.5, 0.75, 1.0]",0.7016831233930386,0.7016831233930386,0.0,0.03794589806192339,False
f60_a0_p00_s03,f60_a0_p00,pku_round0_00058,1.0,0.0,03,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.7045189378389475,0.7045189378389475,0.0,0.0,True
f60_a0_p00_s04,f60_a0_p00,pku_round0_00058,1.0,0.0,04,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.7478663872264115,0.7478663872264115,0.0,0.0,True
f60_a0_p01_s00,f60_a0_p01,pku_round0_00094,1.0,0.0,00,0.25,"[0.25, 0.5, 0.75, 1.0]",0.5654289912062745,0.5654289912062745,0.0,0.28277121189205545,False
f60_a0_p01_s01,f60_a0_p01,pku_round0_00094,1.0,0.0,01,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.6003365166475813,0.6003365166475813,0.0,0.0,True
f60_a0_p01_s02,f60_a0_p01,pku_round0_00094,1.0,0.0,02,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5299137912408445,0.5299137912408445,0.0,0.0,True
f60_a0_p01_s03,f60_a0_p01,pku_round0_00094,1.0,0.0,03,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5283270855389669,0.5283270855389669,0.0,0.0,True
f60_a0_p01_s04,f60_a0_p01,pku_round0_00094,1.0,0.0,04,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.39467244992761924,0.39467244992761924,0.0,0.0,True
f60_a0_p02_s00,f60_a0_p02,pku_round0_00115,1.0,0.0,00,0.5,"[0.5, 0.75, 1.0]",0.5845369790203747,0.5845369790203747,0.0,0.054893265345807296,False
f60_a0_p02_s01,f60_a0_p02,pku_round0_00115,1.0,0.0,01,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.556178834561286,0.556178834561286,0.0,0.0,True
f60_a0_p02_s02,f60_a0_p02,pku_round0_00115,1.0,0.0,02,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5056405699716959,0.5056405699716959,0.0,0.0,True
f60_a0_p02_s03,f60_a0_p02,pku_round0_00115,1.0,0.0,03,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.49924310762050866,0.49924310762050866,0.0,0.0,True
f60_a0_p02_s04,f60_a0_p02,pku_round0_00115,1.0,0.0,04,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5293061167167211,0.5293061167167211,0.0,0.0,True
f60_a0_p03_s00,f60_a0_p03,pku_round0_00123,1.0,0.0,00,0.0,[0.0],0.4892333578203661,0.4331585031220967,0.056074854698269394,0.056074854698269394,False
f60_a0_p03_s01,f60_a0_p03,pku_round0_00123,1.0,0.0,01,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.338496316141996,0.338496316141996,0.0,0.0,True
f60_a0_p03_s02,f60_a0_p03,pku_round0_00123,1.0,0.0,02,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.6333534991249488,0.6333534991249488,0.0,0.0,True
f60_a0_p03_s03,f60_a0_p03,pku_round0_00123,1.0,0.0,03,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.7114059157790118,0.7114059157790118,0.0,0.0,True
f60_a0_p03_s04,f60_a0_p03,pku_round0_00123,1.0,0.0,04,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.774063911155284,0.774063911155284,0.0,0.0,True
f60_a0_p04_s00,f60_a0_p04,pku_round0_00126,1.0,0.0,00,0.25,"[0.25, 0.5, 0.75, 1.0]",0.5686699220015989,0.5686699220015989,0.0,0.13095385994857728,False
f60_a0_p04_s01,f60_a0_p04,pku_round0_00126,1.0,0.0,01,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5760295356826481,0.5760295356826481,0.0,0.0,True
f60_a0_p04_s02,f60_a0_p04,pku_round0_00126,1.0,0.0,02,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.7154570792731674,0.7154570792731674,0.0,0.0,True
f60_a0_p04_s03,f60_a0_p04,pku_round0_00126,1.0,0.0,03,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5265715813581662,0.5265715813581662,0.0,0.0,True
f60_a0_p04_s04,f60_a0_p04,pku_round0_00126,1.0,0.0,04,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.728420802454465,0.728420802454465,0.0,0.0,True
f60_a0_p05_s00,f60_a0_p05,pku_round0_00146,1.0,0.0,00,0.0,[0.0],0.5750842642006785,0.5291035585420133,0.04598070565866519,0.04598070565866519,False
f60_a0_p05_s01,f60_a0_p05,pku_round0_00146,1.0,0.0,01,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.6140429531361408,0.6140429531361408,0.0,0.0,True
f60_a0_p05_s02,f60_a0_p05,pku_round0_00146,1.0,0.0,02,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.6480727264870472,0.6480727264870472,0.0,0.0,True
f60_a0_p05_s03,f60_a0_p05,pku_round0_00146,1.0,0.0,03,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5433501501631269,0.5433501501631269,0.0,0.0,True
f60_a0_p05_s04,f60_a0_p05,pku_round0_00146,1.0,0.0,04,0.0,"[0.0, 0.25]",0.6881792450791868,0.6564451310416353,0.03173411403755155,0.03173411403755155,False
f60_a0_p06_s00,f60_a0_p06,pku_round0_00198,1.0,0.0,00,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.6369995462696887,0.6369995462696887,0.0,0.0,True
f60_a0_p06_s01,f60_a0_p06,pku_round0_00198,1.0,0.0,01,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.3312717412440853,0.3312717412440853,0.0,0.0,True
f60_a0_p06_s02,f60_a0_p06,pku_round0_00198,1.0,0.0,02,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.557461703001102,0.557461703001102,0.0,0.0,True
f60_a0_p06_s03,f60_a0_p06,pku_round0_00198,1.0,0.0,03,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.5997288421234579,0.5997288421234579,0.0,0.0,True
f60_a0_p06_s04,f60_a0_p06,pku_round0_00198,1.0,0.0,04,0.0,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.6446967569085842,0.6446967569085842,0.0,0.0,True
