state_id,prompt_id,epsilon,max_utility,oracle_set,oracle_set_size,unique_oracle,w1_in_oracle_set,w0_in_oracle_set,is_actionable
f60_a0_p00_s00,pku_round0_00058,1e-08,0.5466586003500206,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p00_s00,pku_round0_00058,1e-06,0.5466586003500206,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p00_s00,pku_round0_00058,0.0001,0.5466586003500206,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p00_s00,pku_round0_00058,0.001,0.5466586003500206,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p00_s01,pku_round0_00058,1e-08,0.3639511267636065,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s01,pku_round0_00058,1e-06,0.3639511267636065,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s01,pku_round0_00058,0.0001,0.3639511267636065,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s01,pku_round0_00058,0.001,0.3639511267636065,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s02,pku_round0_00058,1e-08,0.7016831233930386,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p00_s02,pku_round0_00058,1e-06,0.7016831233930386,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p00_s02,pku_round0_00058,0.0001,0.7016831233930386,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p00_s02,pku_round0_00058,0.001,0.7016831233930386,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p00_s03,pku_round0_00058,1e-08,0.7045189378389475,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s03,pku_round0_00058,1e-06,0.7045189378389475,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s03,pku_round0_00058,0.0001,0.7045189378389475,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s03,pku_round0_00058,0.001,0.7045189378389475,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s04,pku_round0_00058,1e-08,0.7478663872264115,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s04,pku_round0_00058,1e-06,0.7478663872264115,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s04,pku_round0_00058,0.0001,0.7478663872264115,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p00_s04,pku_round0_00058,0.001,0.7478663872264115,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s00,pku_round0_00094,1e-08,0.5654289912062745,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p01_s00,pku_round0_00094,1e-06,0.5654289912062745,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p01_s00,pku_round0_00094,0.0001,0.5654289912062745,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p01_s00,pku_round0_00094,0.001,0.5654289912062745,"[0.25, 0.5, 0.75, 1.0]",4,False,True,False,True
f60_a0_p01_s01,pku_round0_00094,1e-08,0.6003365166475813,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s01,pku_round0_00094,1e-06,0.6003365166475813,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s01,pku_round0_00094,0.0001,0.6003365166475813,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s01,pku_round0_00094,0.001,0.6003365166475813,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s02,pku_round0_00094,1e-08,0.5299137912408445,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s02,pku_round0_00094,1e-06,0.5299137912408445,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s02,pku_round0_00094,0.0001,0.5299137912408445,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s02,pku_round0_00094,0.001,0.5299137912408445,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s03,pku_round0_00094,1e-08,0.5283270855389669,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s03,pku_round0_00094,1e-06,0.5283270855389669,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s03,pku_round0_00094,0.0001,0.5283270855389669,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s03,pku_round0_00094,0.001,0.5283270855389669,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s04,pku_round0_00094,1e-08,0.39467244992761924,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s04,pku_round0_00094,1e-06,0.39467244992761924,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s04,pku_round0_00094,0.0001,0.39467244992761924,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p01_s04,pku_round0_00094,0.001,0.39467244992761924,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s00,pku_round0_00115,1e-08,0.5845369790203747,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p02_s00,pku_round0_00115,1e-06,0.5845369790203747,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p02_s00,pku_round0_00115,0.0001,0.5845369790203747,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p02_s00,pku_round0_00115,0.001,0.5845369790203747,"[0.5, 0.75, 1.0]",3,False,True,False,True
f60_a0_p02_s01,pku_round0_00115,1e-08,0.556178834561286,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s01,pku_round0_00115,1e-06,0.556178834561286,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s01,pku_round0_00115,0.0001,0.556178834561286,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s01,pku_round0_00115,0.001,0.556178834561286,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s02,pku_round0_00115,1e-08,0.5056405699716959,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s02,pku_round0_00115,1e-06,0.5056405699716959,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s02,pku_round0_00115,0.0001,0.5056405699716959,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s02,pku_round0_00115,0.001,0.5056405699716959,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s03,pku_round0_00115,1e-08,0.49924310762050866,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s03,pku_round0_00115,1e-06,0.49924310762050866,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s03,pku_round0_00115,0.0001,0.49924310762050866,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s03,pku_round0_00115,0.001,0.49924310762050866,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s04,pku_round0_00115,1e-08,0.5293061167167211,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s04,pku_round0_00115,1e-06,0.5293061167167211,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s04,pku_round0_00115,0.0001,0.5293061167167211,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p02_s04,pku_round0_00115,0.001,0.5293061167167211,"[0.0, 0.25, 0.5, 0.75, 1.0]",5,False,True,True,False
f60_a0_p03_s00,pku_round0_00123,1e-08,0.4892333578203661,[0.0],1,True,False,True,True
f60_a0_p03_s00,pku_round0_00123,1e-06,0.4892333578203661,[0.0],1,True,False,True,True
