scope,scope_value,weight,count,fraction
overall,ALL,0.0,222,0.888
overall,ALL,0.25,16,0.064
overall,ALL,0.5,8,0.032
overall,ALL,0.75,1,0.004
overall,ALL,1.0,3,0.012
alpha,"1.00,0.00",0.0,45,0.9
alpha,"1.00,0.00",0.25,3,0.06
alpha,"1.00,0.00",0.5,2,0.04
alpha,"1.00,0.00",0.75,0,0.0
alpha,"1.00,0.00",1.0,0,0.0
alpha,"0.75,0.25",0.0,44,0.88
alpha,"0.75,0.25",0.25,4,0.08
alpha,"0.75,0.25",0.5,1,0.02
alpha,"0.75,0.25",0.75,0,0.0
alpha,"0.75,0.25",1.0,1,0.02
alpha,"0.50,0.50",0.0,44,0.88
alpha,"0.50,0.50",0.25,3,0.06
alpha,"0.50,0.50",0.5,2,0.04
alpha,"0.50,0.50",0.75,0,0.0
alpha,"0.50,0.50",1.0,1,0.02
alpha,"0.25,0.75",0.0,43,0.86
alpha,"0.25,0.75",0.25,3,0.06
alpha,"0.25,0.75",0.5,2,0.04
alpha,"0.25,0.75",0.75,1,0.02
alpha,"0.25,0.75",1.0,1,0.02
alpha,"0.00,1.00",0.0,46,0.92
alpha,"0.00,1.00",0.25,3,0.06
alpha,"0.00,1.00",0.5,1,0.02
alpha,"0.00,1.00",0.75,0,0.0
alpha,"0.00,1.00",1.0,0,0.0
position,00,0.0,33,0.66
position,00,0.25,13,0.26
position,00,0.5,4,0.08
position,00,0.75,0,0.0
position,00,1.0,0,0.0
position,01,0.0,46,0.92
position,01,0.25,0,0.0
position,01,0.5,1,0.02
position,01,0.75,1,0.02
position,01,1.0,2,0.04
position,02,0.0,46,0.92
position,02,0.25,3,0.06
position,02,0.5,1,0.02
position,02,0.75,0,0.0
position,02,1.0,0,0.0
position,03,0.0,48,0.96
position,03,0.25,0,0.0
position,03,0.5,2,0.04
position,03,0.75,0,0.0
position,03,1.0,0,0.0
position,04,0.0,49,0.98
position,04,0.25,0,0.0
position,04,0.5,0,0.0
position,04,0.75,0,0.0
position,04,1.0,1,0.02
