subset,score_family,horizon,states,informative_pair_count,pairwise_accuracy,defined_spearman_states,undefined_spearman_fraction,mean_defined_spearman,top1_oracle_set_accuracy,top2_oracle_set_coverage
actionable,parm,1,64,296,0.4391891891891892,64,0.0,-0.125,0.4375,0.5
actionable,parm,2,64,296,0.49324324324324326,64,0.0,-0.026041666666666657,0.484375,0.484375
actionable,parm,4,64,296,0.4797297297297297,64,0.0,-0.05729166666666666,0.46875,0.484375
actionable,parm,8,64,296,0.43243243243243246,64,0.0,-0.15104166666666666,0.421875,0.46875
actionable,parm,16,64,296,0.47297297297297297,64,0.0,-0.0625,0.46875,0.484375
actionable,parm,32,64,296,0.49324324324324326,64,0.0,-0.026041666666666657,0.484375,0.515625
actionable,base,1,64,296,0.5608108108108109,64,0.0,0.125,0.5625,0.8125
actionable,base,2,64,296,0.527027027027027,64,0.0,0.0798611111111111,0.53125,0.640625
actionable,base,4,64,296,0.5202702702702703,64,0.0,0.048611111111111105,0.515625,0.5625
actionable,base,8,64,296,0.527027027027027,64,0.0,0.048611111111111105,0.515625,0.59375
actionable,base,16,64,296,0.4864864864864865,64,0.0,-0.03125,0.484375,0.578125
actionable,base,32,64,296,0.49324324324324326,64,0.0,0.0,0.5,0.609375
actionable,ratio,1,64,296,0.4391891891891892,64,0.0,-0.125,0.4375,0.5
actionable,ratio,2,64,296,0.43243243243243246,64,0.0,-0.15625,0.421875,0.484375
actionable,ratio,4,64,296,0.41216216216216217,64,0.0,-0.1875,0.40625,0.484375
actionable,ratio,8,64,296,0.43243243243243246,64,0.0,-0.15104166666666666,0.421875,0.5
actionable,ratio,16,64,296,0.4797297297297297,64,0.0,-0.0625,0.46875,0.515625
actionable,ratio,32,64,296,0.46621621621621623,64,0.0,-0.08854166666666666,0.453125,0.5
all,parm,1,250,296,0.4391891891891892,64,0.744,-0.125,0.856,0.872
all,parm,2,250,296,0.49324324324324326,64,0.744,-0.026041666666666657,0.868,0.868
all,parm,4,250,296,0.4797297297297297,64,0.744,-0.05729166666666666,0.864,0.868
all,parm,8,250,296,0.43243243243243246,64,0.744,-0.15104166666666666,0.852,0.864
all,parm,16,250,296,0.47297297297297297,64,0.744,-0.0625,0.864,0.868
all,parm,32,250,296,0.49324324324324326,64,0.744,-0.026041666666666657,0.868,0.876
all,base,1,250,296,0.5608108108108109,64,0.744,0.125,0.888,0.952
all,base,2,250,296,0.527027027027027,64,0.744,0.0798611111111111,0.88,0.908
all,base,4,250,296,0.5202702702702703,64,0.744,0.048611111111111105,0.876,0.888
all,base,8,250,296,0.527027027027027,64,0.744,0.048611111111111105,0.876,0.896
all,base,16,250,296,0.4864864864864865,64,0.744,-0.03125,0.868,0.892
all,base,32,250,296,0.49324324324324326,64,0.744,0.0,0.872,0.9
all,ratio,1,250,296,0.4391891891891892,64,0.744,-0.125,0.856,0.872
all,ratio,2,250,296,0.43243243243243246,64,0.744,-0.15625,0.852,0.868
all,ratio,4,250,296,0.41216216216216217,64,0.744,-0.1875,0.848,0.868
all,ratio,8,250,296,0.43243243243243246,64,0.744,-0.15104166666666666,0.852,0.872
all,ratio,16,250,296,0.4797297297297297,64,0.744,-0.0625,0.864,0.876
all,ratio,32,250,296,0.46621621621621623,64,0.744,-0.08854166666666666,0.86,0.872
