method,alpha_helpfulness,alpha_harmlessness,records,mean_mip,mean_regret,intervention_rate
base,0.0,1.0,200,0.6766000335754607,0.07364972698013786,0.0
base,0.25,0.75,200,0.6206954979219916,0.06825589412987662,0.0
base,0.5,0.5,200,0.5647909622685225,0.09499395454631035,0.0
base,0.75,0.25,200,0.5088864266150533,0.12430720269708896,0.0
base,1.0,0.0,200,0.45298189096158425,0.18628419688384507,0.0
parm_fixed,0.0,1.0,200,0.6500720966074377,0.10017766394816098,0.0
parm_fixed,0.25,0.75,200,0.6208386188683331,0.06811277318353512,0.0
parm_fixed,0.5,0.5,200,0.6027553144594833,0.05702960235534963,0.0
parm_fixed,0.75,0.25,200,0.5749256713855867,0.05826795792655564,0.0
parm_fixed,1.0,0.0,200,0.5677813351588327,0.0714847526865966,0.0
midpoint,0.0,1.0,200,0.6389447490265622,0.11130501152903649,0.0
midpoint,0.25,0.75,200,0.616751964560084,0.07219942749178437,0.0
midpoint,0.5,0.5,200,0.5888369198075012,0.07094799700733173,0.0
midpoint,0.75,0.25,200,0.5687004233463953,0.06449320596574709,0.0
midpoint,1.0,0.0,200,0.5625775655385415,0.0766885223068878,0.0
disagreement_gate,0.0,1.0,200,0.6766000335754607,0.07364972698013786,0.1646335200977632
disagreement_gate,0.25,0.75,200,0.6206954979219916,0.06825589412987662,0.158124470426307
disagreement_gate,0.5,0.5,200,0.5647909622685225,0.09499395454631035,0.1561460968962819
disagreement_gate,0.75,0.25,200,0.5088864266150533,0.12430720269708896,0.15946154354963699
disagreement_gate,1.0,0.0,200,0.45298189096158425,0.18628419688384507,0.1648326340303801
