ci95_high,ci95_low,cohen_dz,comparator,direction,holm_adjusted_pvalue,mean_effect,metric,paired_tasks,permutation_pvalue,prompt_clusters,significant_at_0_05,treatment
-0.18589995411628069,-0.2897106871694847,,parm_static,positive_favors_treatment,1.0,-0.18589995411628069,hypervolume,10,0.5057494250574942,2,False,parm_v2_full_alpha
-0.06908736488149751,-0.1436776624380744,-1.169568671162265,parm_static,positive_favors_treatment,1.0,-0.10638251365978597,mip,10,0.49745025497450257,2,False,parm_v2_full_alpha
-0.06593207423629557,-0.08013617322033026,-0.6959178231015101,parm_static,positive_favors_treatment,1.0,-0.07303412372831293,pcs,10,0.5043495650434956,2,False,parm_v2_full_alpha
-0.06908736488149751,-0.1436776624380744,-1.169568671162265,parm_static,positive_favors_treatment,1.0,-0.10638251365978597,preference_regret,10,0.5065493450654934,2,False,parm_v2_full_alpha
0.5053066727260417,0.2172051834231064,1.0514422847957827,parm_static,positive_favors_treatment,1.0,0.3612559280745741,perplexity,10,0.5058494150584941,2,False,parm_v2_full_alpha
-0.028822467854725864,-0.06897465437788017,-1.4747934352205465,parm_static,positive_favors_treatment,1.0,-0.048898561116303016,coherence,10,0.49295070492950704,2,False,parm_v2_full_alpha
0.0,0.0,,parm_taro,positive_favors_treatment,1.0,0.0,hypervolume,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_taro,positive_favors_treatment,1.0,0.0,mip,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_taro,positive_favors_treatment,1.0,0.0,pcs,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_taro,positive_favors_treatment,1.0,0.0,preference_regret,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_taro,positive_favors_treatment,1.0,0.0,perplexity,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_taro,positive_favors_treatment,1.0,0.0,coherence,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,,parm_v2_no_alpha,positive_favors_treatment,1.0,0.0,hypervolume,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_no_alpha,positive_favors_treatment,1.0,0.0,mip,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_no_alpha,positive_favors_treatment,1.0,0.0,pcs,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_no_alpha,positive_favors_treatment,1.0,0.0,preference_regret,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_no_alpha,positive_favors_treatment,1.0,0.0,perplexity,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_no_alpha,positive_favors_treatment,1.0,0.0,coherence,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,,parm_v2_full_alpha_same_average,positive_favors_treatment,1.0,0.0,hypervolume,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_full_alpha_same_average,positive_favors_treatment,1.0,0.0,mip,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_full_alpha_same_average,positive_favors_treatment,1.0,0.0,pcs,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_full_alpha_same_average,positive_favors_treatment,1.0,0.0,preference_regret,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_full_alpha_same_average,positive_favors_treatment,1.0,0.0,perplexity,10,1.0,2,False,parm_v2_full_alpha
0.0,0.0,0.0,parm_v2_full_alpha_same_average,positive_favors_treatment,1.0,0.0,coherence,10,1.0,2,False,parm_v2_full_alpha
