alpha_helpfulness,alpha_harmlessness,mean_helpfulness,mean_harmlessness,mean_MIP,mean_PCS,records,d_helpfulness_d_alpha,d_harmlessness_d_alpha,helpfulness_monotonicity_violation,harmlessness_monotonicity_violation,low_sensitivity,nondominated,supported_positive_linear,support_weight_min,support_weight_max,turning_angle_radians,signed_cross
0.0,1.0,0.5259706587731997,0.6640379330670683,0.6640379330670683,0.7632195205844086,20,,,False,False,False,True,True,0.0,0.504625555377721,,
0.05,0.95,0.5245506415692588,0.6458094645841529,0.6397465234334081,0.795042743422617,20,-0.028400344078818307,-0.36456936965830744,True,False,False,False,False,,,2.1922828407690766,0.00011789709906142303
0.1,0.9,0.5313380284067585,0.6499126317648916,0.6380551714290783,0.822336192331983,20,0.13574773674999374,0.0820633436147733,False,True,False,False,False,,,0.9256503995921246,4.996905314246079e-05
0.15,0.85,0.5321362342139663,0.657757215592043,0.6389140683853316,0.8579742392646068,20,0.01596411614415594,0.15689167654302952,False,True,False,True,True,0.504625555377721,0.5085356673656506,1.6898813526469638,0.0002614331313765654
0.2,0.8,0.49874958306775713,0.6571668261918662,0.6254833775670444,0.8958485397714583,20,-0.6677330229241827,-0.011807788003537208,True,False,False,False,False,,,1.8020301160296526,0.00042687575203842986
0.25,0.75,0.5019850279125165,0.6444382186464077,0.608824920962935,0.9149311436331503,20,0.06470889689518812,-0.25457215090916924,False,False,False,False,False,,,1.1559509209439878,0.00040506768972007256
0.3,0.7,0.535223347395372,0.6388718018747134,0.6077772655309109,0.9361116666797905,20,0.66476638965711,-0.11132833543388679,False,False,False,True,False,,,-0.3026797679599898,-0.00022381161916136658
0.35,0.65,0.5551010562733618,0.6288093427478257,0.6030114424817634,0.9558237029877523,20,0.39755417755979583,-0.20124918253775276,False,False,False,True,False,,,-2.383146010930706,-0.0005430528532217662
0.4,0.6,0.5211404902988139,0.6186811107965151,0.5796648625974347,0.976255690592857,20,-0.6792113194909571,-0.2025646390262124,True,False,False,False,False,,,3.117722970845257,1.0298153467573504e-05
0.45,0.55,0.532887598443273,0.6218812719086146,0.5818341188492109,0.9837517871851229,20,0.2349421628891824,0.06400322224199063,False,True,False,False,False,,,0.29777982970558065,8.898537288776268e-05
0.5,0.5,0.5539435207041463,0.6351924387561043,0.5945679797301253,0.9841077190597112,20,0.42111844521746555,0.26622333694979355,False,True,False,True,True,0.5085356673656506,0.7845450647011798,-2.799323573324694,-0.00012436617341754256
0.55,0.45,0.5447672133936867,0.6234848760088297,0.5801901615705012,0.9743282989172133,20,-0.18352614620919178,-0.2341512549454914,True,False,False,False,False,,,-1.1780045389781513,-0.00014651762324476074
0.6,0.4,0.5344974084369531,0.6263491259104838,0.5712380954263654,0.9495507775636902,20,-0.20539609913467177,0.05728499803308037,True,True,False,False,False,,,0.865399053663908,0.00017967942825798506
0.65,0.35,0.5161464818008232,0.6139713067619474,0.5503851705372167,0.9210853754393048,20,-0.367018532722598,-0.2475563829707259,True,False,False,False,False,,,2.4470814815690183,0.0006389966785432979
0.7,0.3,0.5610215574225419,0.6094188877001059,0.575540756505811,0.8966435059054586,20,0.8975015124343745,-0.09104838123683136,False,False,False,True,True,0.7845450647011798,1.0,-2.19843487642217,-0.0009144578126606773
0.75,0.25,0.5443417357277511,0.5907331414854886,0.5559395871671855,0.86634951284261,20,-0.333596433895815,-0.3737149242923451,True,False,False,False,False,,,-3.0682851885356315,-2.1206471753996368e-05
0.8,0.2,0.5513873842380033,0.599897488355078,0.5610894050614182,0.8276279983095087,20,0.14091297020504254,0.18328693739178653,False,True,False,False,False,,,2.312558842978651,0.00019658605000255877
0.85,0.15,0.528407159317406,0.5979086434261001,0.5388323819337101,0.7727880585217836,20,-0.4596044984119458,-0.03977689857955774,True,False,False,False,False,,,-2.48031088979923,-0.0002528683750216234
0.9,0.1,0.5414974813578961,0.6100452955517526,0.5483522627772818,0.7445034383806596,20,0.26180644080980175,0.24273304251305006,False,True,False,False,False,,,-2.9631582541498203,-5.154746863925277e-05
0.95,0.05,0.5317195129691248,0.5970418515613842,0.5349856298987377,0.7079153702878165,20,-0.19555936777542662,-0.26006887980736726,True,False,False,False,False,,,-0.322745093300977,-0.00013871342811064407
1.0,0.0,0.5095837024393407,0.5817903863934192,0.5095837024393407,0.6558472889998874,20,-0.4427162105956813,-0.30502930335930073,True,False,False,False,False,,,,
