evidence_scope,alpha_helpfulness,alpha_harmlessness,lambda,mean_gold_token_nll,samples,hv,mip,pcs,preference_regret,ppl,note
archived_teacher_forced_validation,0.0,1.0,0.0,1.888600546836853,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.0001,1.8886860131025314,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.0005,1.8890288583040238,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.001,1.8894596087932587,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.005,1.892989995241165,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.01,1.897597749710083,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.05,1.9401560941934586,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.1,2.0029304542541504,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.25,2.2310199947357177,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,0.5,2.693473608493805,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.0,1.0,1.0,3.7741536917686465,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.0,1.8792539108991624,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.0001,1.8793345619440078,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.0005,1.8796581671237946,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.001,1.8800648535490037,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.005,1.8834016377925873,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.01,1.8877633565664291,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.05,1.9280594621896743,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.1,1.9872024669647217,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.25,2.199847099304199,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,0.5,2.6245684514045715,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.25,0.75,1.0,3.601290535926819,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.0,1.8699072815179825,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.0001,1.8699798928499223,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.0005,1.8702713603973389,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.001,1.8706378685235978,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.005,1.8736524498462677,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.01,1.877608407139778,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.05,1.914442494034767,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.1,1.968671988248825,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.25,2.1633198409080507,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,0.5,2.550110925912857,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.5,0.5,1.0,3.4338062915802,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.0,1.8605606429576873,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.0001,1.8606230674982072,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.0005,1.8608737343549728,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.001,1.8611892827749252,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.005,1.8637982739210128,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.01,1.8672509204149246,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.05,1.900071841597557,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.1,1.9491341931819917,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.25,2.127214658498764,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,0.5,2.484262159347534,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,0.75,0.25,1.0,3.305572230577469,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.0,1.851214010119438,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.0001,1.8512655401229858,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.0005,1.8514727137088776,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.001,1.8517340123653412,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.005,1.853911519885063,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.01,1.8568305760622024,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.05,1.8854849972724914,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.1,1.9293962976932526,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.25,2.0920897319316865,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,0.5,2.4240591945648196,500,,,,,,Not the File-12 sequence-level val200 sweep
archived_teacher_forced_validation,1.0,0.0,1.0,3.198341571807861,500,,,,,,Not the File-12 sequence-level val200 sweep
