fusion,lambda,mean_nll,is_best
current,0.0,1.7308394074440003,True
current,0.001,1.731818723678589,False
current,0.01,1.7410495400428772,False
current,0.1,1.8530209243297577,False
current,0.25,2.073565822839737,False
current,0.5,2.4879910707473756,False
current,1.0,3.4021992802619936,False
current,2.0,5.364438843727112,False
normalized,0.0,1.7308394074440003,True
normalized,0.001,1.7313732624053955,False
normalized,0.01,1.7364406526088714,False
normalized,0.1,1.7929734408855438,False
normalized,0.25,1.8789626598358153,False
normalized,0.5,1.9932284235954285,False
normalized,1.0,2.1494677305221557,False
normalized,2.0,2.3215928733348847,False
