fusion,lambda,mean_nll,is_best
current,0.0,1.641580488284429,True
current,0.001,1.6419996758302053,False
current,0.01,1.646210785706838,False
current,0.05,1.670731395483017,False
current,0.1,1.708288739124934,False
current,0.25,1.8445466180642447,False
current,0.5,2.115706777572632,False
current,0.75,2.4178578396638235,False
current,1.0,2.7388431171576184,False
current,1.5,3.4143578747908276,False
current,2.0,4.115661730368932,False
current,4.0,7.027751545111339,False
current,8.0,12.995916565259298,False
current,16.0,25.022796138127646,False
normalized,0.0,1.641580488284429,True
normalized,0.001,1.6415827651818593,False
normalized,0.01,1.6419424295425415,False
normalized,0.05,1.64729332725207,False
normalized,0.1,1.6568175415198008,False
normalized,0.25,1.6882904330889383,False
normalized,0.5,1.7373515645662942,False
normalized,0.75,1.7788997888565063,False
normalized,1.0,1.8136033157507578,False
normalized,1.5,1.8674513141314188,False
normalized,2.0,1.9069618960221608,False
normalized,4.0,1.9956680516401926,False
normalized,8.0,2.0630455791950224,False
normalized,16.0,2.106269959608714,False
normalized,guide_only,2.158511245250702,False
