fusion,lambda,alpha,sample_id,n,mean_gradient,median_gradient,fraction_positive
current,0.0,ALL,ALL,60,0.4135679506075879,0.10750068351626396,0.6166666666666667
current,0.001,ALL,ALL,60,0.4245779850520194,0.11443910375237465,0.6166666666666667
current,0.01,ALL,ALL,60,0.5064405644933383,0.17096859961748123,0.6833333333333333
current,0.05,ALL,ALL,60,0.6901611781368653,0.3106485605239868,0.9666666666666667
current,0.1,ALL,ALL,60,0.802965110167861,0.3906264901161194,1.0
current,0.25,ALL,ALL,60,0.9929627468188603,0.6000035405158997,1.0
current,0.5,ALL,ALL,60,1.1580703044931093,0.7952911555767059,1.0
current,0.75,ALL,ALL,60,1.2517051224907239,0.9156572222709656,1.0
current,1.0,ALL,ALL,60,1.3120831280946732,1.0066378712654114,1.0
current,1.5,ALL,ALL,60,1.3819670846064886,1.0917010307312012,1.0
current,2.0,ALL,ALL,60,1.419954241812229,1.1372603178024292,1.0
current,4.0,ALL,ALL,60,1.4780265440543492,1.2013309597969055,1.0
current,8.0,ALL,ALL,60,1.4994447062412897,1.227552056312561,1.0
current,16.0,ALL,ALL,60,1.5053264925877252,1.2351754903793335,1.0
normalized,0.0,ALL,ALL,60,-0.0021478287875652314,-0.29054541885852814,0.3333333333333333
normalized,0.001,ALL,ALL,60,0.0066518053412437435,-0.2840827703475952,0.3333333333333333
normalized,0.01,ALL,ALL,60,0.0686083622276783,-0.22879812866449356,0.35
normalized,0.05,ALL,ALL,60,0.1721656861404578,-0.1337885707616806,0.36666666666666664
normalized,0.1,ALL,ALL,60,0.20230268041292826,-0.08782535791397095,0.38333333333333336
normalized,0.25,ALL,ALL,60,0.2091492209583521,-0.027314886450767517,0.43333333333333335
normalized,0.5,ALL,ALL,60,0.18136221170425415,0.009970895946025848,0.55
normalized,0.75,ALL,ALL,60,0.15166652351617813,0.023154567927122116,0.6166666666666667
normalized,1.0,ALL,ALL,60,0.12684901210789878,0.026907823979854584,0.6333333333333333
normalized,1.5,ALL,ALL,60,0.0912526236458992,0.02642328292131424,0.7333333333333333
normalized,2.0,ALL,ALL,60,0.06839278455202778,0.022093220613896847,0.8333333333333334
normalized,4.0,ALL,ALL,60,0.028731301426887512,0.011040305253118277,0.9333333333333333
normalized,8.0,ALL,ALL,60,0.009874540218152105,0.0041955080814659595,1.0
normalized,16.0,ALL,ALL,60,0.002956415290827863,0.0012991977855563164,1.0
current,0.0,"1.00,0.00",ALL,12,0.26497710263356566,0.010452610440552235,0.5833333333333334
current,0.001,"1.00,0.00",ALL,12,0.2741070599295199,0.01677160244435072,0.5833333333333334
current,0.01,"1.00,0.00",ALL,12,0.3428589977944891,0.06619884818792343,0.5833333333333334
current,0.05,"1.00,0.00",ALL,12,0.5088820960372686,0.2094051092863083,0.9166666666666666
current,0.1,"1.00,0.00",ALL,12,0.6210728418081999,0.31397145986557007,1.0
current,0.25,"1.00,0.00",ALL,12,0.815450576444467,0.5055549144744873,1.0
current,0.5,"1.00,0.00",ALL,12,0.987181730568409,0.7106843888759613,1.0
current,0.75,"1.00,0.00",ALL,12,1.0860130513707797,0.8094938397407532,1.0
current,1.0,"1.00,0.00",ALL,12,1.1511031240224838,0.867604523897171,1.0
current,1.5,"1.00,0.00",ALL,12,1.2266810884078343,0.9311561584472656,1.0
current,2.0,"1.00,0.00",ALL,12,1.2656902397672336,0.9641600847244263,1.0
current,4.0,"1.00,0.00",ALL,12,1.3238768925269444,1.0120033919811249,1.0
current,8.0,"1.00,0.00",ALL,12,1.3461258709430695,1.0319941639900208,1.0
current,16.0,"1.00,0.00",ALL,12,1.353040874004364,1.0381938815116882,1.0
normalized,0.0,"1.00,0.00",ALL,12,-0.14134474098682404,-0.3467845618724823,0.25
normalized,0.001,"1.00,0.00",ALL,12,-0.13423403849204382,-0.3427109569311142,0.25
normalized,0.01,"1.00,0.00",ALL,12,-0.0835224154094855,-0.3118349760770798,0.25
normalized,0.05,"1.00,0.00",ALL,12,0.011151822904745737,-0.23646698892116547,0.25
normalized,0.1,"1.00,0.00",ALL,12,0.05146260435382525,-0.1793215498328209,0.25
normalized,0.25,"1.00,0.00",ALL,12,0.09071352643271287,-0.10018792003393173,0.25
normalized,0.5,"1.00,0.00",ALL,12,0.09945313942929108,-0.04702794551849365,0.3333333333333333
normalized,0.75,"1.00,0.00",ALL,12,0.09214828815311193,-0.02413085475564003,0.3333333333333333
normalized,1.0,"1.00,0.00",ALL,12,0.08172932220622897,-0.011396195739507675,0.4166666666666667
normalized,1.5,"1.00,0.00",ALL,12,0.06269564456306398,-0.0005922447890043259,0.5
normalized,2.0,"1.00,0.00",ALL,12,0.048635789969315134,0.0028227027505636215,0.6666666666666666
normalized,4.0,"1.00,0.00",ALL,12,0.02163357916288078,0.0041852183640003204,0.9166666666666666
normalized,8.0,"1.00,0.00",ALL,12,0.007684517748809109,0.0022070473060011864,1.0
normalized,16.0,"1.00,0.00",ALL,12,0.002341517829336226,0.0007938016206026077,1.0
current,0.0,"0.75,0.25",ALL,12,0.33449404189984006,0.0581582672894001,0.5833333333333334
current,0.001,"0.75,0.25",ALL,12,0.3444655140240987,0.06417019665241241,0.5833333333333334
current,0.01,"0.75,0.25",ALL,12,0.41907629898438853,0.11136221140623093,0.5833333333333334
current,0.05,"0.75,0.25",ALL,12,0.5931937942902247,0.2432306855916977,0.9166666666666666
current,0.1,"0.75,0.25",ALL,12,0.7050765417516232,0.36874282360076904,1.0
current,0.25,"0.75,0.25",ALL,12,0.8944407304128011,0.6046282052993774,1.0
current,0.5,"0.75,0.25",ALL,12,1.0593651781479518,0.7884083390235901,1.0
current,0.75,"0.75,0.25",ALL,12,1.1527166093389194,0.8895623981952667,1.0
current,1.0,"0.75,0.25",ALL,12,1.2130000193913777,0.9522583484649658,1.0
current,1.5,"0.75,0.25",ALL,12,1.2843570932745934,1.0282816588878632,1.0
current,2.0,"0.75,0.25",ALL,12,1.323897975186507,1.072990357875824,1.0
current,4.0,"0.75,0.25",ALL,12,1.382009506225586,1.1402460932731628,1.0
current,8.0,"0.75,0.25",ALL,12,1.4042966216802597,1.1652288436889648,1.0
current,16.0,"0.75,0.25",ALL,12,1.4103598246971767,1.1708007454872131,1.0
normalized,0.0,"0.75,0.25",ALL,12,-0.07652477423350017,-0.29844558238983154,0.3333333333333333
normalized,0.001,"0.75,0.25",ALL,12,-0.06867065653204918,-0.29387571662664413,0.3333333333333333
normalized,0.01,"0.75,0.25",ALL,12,-0.013032644987106323,-0.2600873112678528,0.3333333333333333
normalized,0.05,"0.75,0.25",ALL,12,0.08542266984780629,-0.17608462274074554,0.3333333333333333
normalized,0.1,"0.75,0.25",ALL,12,0.1204633042216301,-0.12061215937137604,0.3333333333333333
normalized,0.25,"0.75,0.25",ALL,12,0.14320896628002325,-0.04676579311490059,0.3333333333333333
normalized,0.5,"0.75,0.25",ALL,12,0.13425502988199392,-0.002925887703895569,0.5
normalized,0.75,"0.75,0.25",ALL,12,0.11650099481145541,0.012293718755245209,0.5833333333333334
normalized,1.0,"0.75,0.25",ALL,12,0.09961103710035484,0.017794694751501083,0.5833333333333334
normalized,1.5,"0.75,0.25",ALL,12,0.07349890454982717,0.01930677890777588,0.6666666666666666
normalized,2.0,"0.75,0.25",ALL,12,0.055884793400764465,0.017399447038769722,0.8333333333333334
normalized,4.0,"0.75,0.25",ALL,12,0.024100356580068667,0.00961348507553339,0.9166666666666666
normalized,8.0,"0.75,0.25",ALL,12,0.008424782970299324,0.0037817812990397215,1.0
normalized,16.0,"0.75,0.25",ALL,12,0.002546644158428535,0.0012119923485442996,1.0
current,0.0,"0.50,0.50",ALL,12,0.4205159340053797,0.1751043200492859,0.6666666666666666
current,0.001,"0.50,0.50",ALL,12,0.43154987196127575,0.18129760026931763,0.6666666666666666
current,0.01,"0.50,0.50",ALL,12,0.5135394996032119,0.2285761460661888,0.6666666666666666
current,0.05,"0.50,0.50",ALL,12,0.6967866476625204,0.34692347049713135,1.0
current,0.1,"0.50,0.50",ALL,12,0.8080041408538818,0.42990171909332275,1.0
current,0.25,"0.50,0.50",ALL,12,0.9947128022710482,0.6266297996044159,1.0
current,0.5,"0.50,0.50",ALL,12,1.156316285332044,0.8018159568309784,1.0
current,0.75,"0.50,0.50",ALL,12,1.2469874198238056,0.8989535868167877,1.0
current,1.0,"0.50,0.50",ALL,12,1.3048712785045307,0.967872679233551,1.0
current,1.5,"0.50,0.50",ALL,12,1.3716012686491013,1.0492729544639587,1.0
current,2.0,"0.50,0.50",ALL,12,1.4091499224305153,1.0924496054649353,1.0
current,4.0,"0.50,0.50",ALL,12,1.467890699704488,1.158099114894867,1.0
current,8.0,"0.50,0.50",ALL,12,1.4880461792151134,1.183906614780426,1.0
current,16.0,"0.50,0.50",ALL,12,1.4935412257909775,1.1902831196784973,1.0
normalized,0.0,"0.50,0.50",ALL,12,0.004800152033567429,-0.2771342694759369,0.3333333333333333
normalized,0.001,"0.50,0.50",ALL,12,0.013587289800246557,-0.2721662074327469,0.3333333333333333
normalized,0.01,"0.50,0.50",ALL,12,0.07534157360593478,-0.21993398666381836,0.3333333333333333
normalized,0.05,"0.50,0.50",ALL,12,0.17722093810637793,-0.10765764862298965,0.3333333333333333
normalized,0.1,"0.50,0.50",ALL,12,0.205177441239357,-0.06327756494283676,0.4166666666666667
normalized,0.25,"0.50,0.50",ALL,12,0.20874791033565998,-0.008280791342258453,0.4166666666666667
normalized,0.5,"0.50,0.50",ALL,12,0.17898113404711088,0.022265512496232986,0.6666666666666666
normalized,0.75,"0.50,0.50",ALL,12,0.14861445718755326,0.030634883791208267,0.6666666666666666
normalized,1.0,"0.50,0.50",ALL,12,0.12371695243443052,0.03181854262948036,0.6666666666666666
normalized,1.5,"0.50,0.50",ALL,12,0.08857843078052004,0.028219998814165592,0.75
normalized,2.0,"0.50,0.50",ALL,12,0.06625769163171451,0.023482346907258034,0.8333333333333334
normalized,4.0,"0.50,0.50",ALL,12,0.027728056457514565,0.011829981114715338,0.9166666666666666
normalized,8.0,"0.50,0.50",ALL,12,0.009504892805125564,0.004525790922343731,1.0
normalized,16.0,"0.50,0.50",ALL,12,0.0028430731811871133,0.0014334882143884897,1.0
current,0.0,"0.25,0.75",ALL,12,0.4964824890096982,0.15742003917694092,0.5833333333333334
current,0.001,"0.25,0.75",ALL,12,0.5084576128671566,0.16392916440963745,0.5833333333333334
current,0.01,"0.25,0.75",ALL,12,0.5969346407800913,0.21331200748682022,0.75
current,0.05,"0.25,0.75",ALL,12,0.7885122504085302,0.330970823764801,1.0
current,0.1,"0.25,0.75",ALL,12,0.9013408906757832,0.40364858508110046,1.0
current,0.25,"0.25,0.75",ALL,12,1.0911448448896408,0.6267892122268677,1.0
current,0.5,"0.25,0.75",ALL,12,1.254177783926328,0.8525185286998749,1.0
current,0.75,"0.25,0.75",ALL,12,1.3453478962182999,0.9737005233764648,1.0
current,1.0,"0.25,0.75",ALL,12,1.4034819876154263,1.0473032593727112,1.0
current,1.5,"0.25,0.75",ALL,12,1.47024155408144,1.1302772760391235,1.0
current,2.0,"0.25,0.75",ALL,12,1.5067955007155736,1.1746582984924316,1.0
current,4.0,"0.25,0.75",ALL,12,1.5646539231141408,1.2384883761405945,1.0
current,8.0,"0.25,0.75",ALL,12,1.5856016079584758,1.2618598341941833,1.0
current,16.0,"0.25,0.75",ALL,12,1.59092881778876,1.2681699991226196,1.0
normalized,0.0,"0.25,0.75",ALL,12,0.0760697474082311,-0.2707851678133011,0.3333333333333333
normalized,0.001,"0.25,0.75",ALL,12,0.08572321633497874,-0.26538586616516113,0.3333333333333333
normalized,0.01,"0.25,0.75",ALL,12,0.15321808060010275,-0.22053197026252747,0.4166666666666667
normalized,0.05,"0.25,0.75",ALL,12,0.25979405641555786,-0.09933286160230637,0.4166666666666667
normalized,0.1,"0.25,0.75",ALL,12,0.28400831793745357,-0.0417872816324234,0.4166666666666667
normalized,0.25,"0.25,0.75",ALL,12,0.2738228353361289,0.026418611407279968,0.5
normalized,0.5,"0.25,0.75",ALL,12,0.22604362728695074,0.05448530241847038,0.5833333333333334
normalized,0.75,"0.25,0.75",ALL,12,0.18393423097829023,0.05653507634997368,0.6666666666666666
normalized,1.0,"0.25,0.75",ALL,12,0.1511473647939662,0.05235050618648529,0.6666666666666666
normalized,1.5,"0.25,0.75",ALL,12,0.10643673816230148,0.04152873530983925,0.8333333333333334
normalized,2.0,"0.25,0.75",ALL,12,0.07879450870677829,0.03260048106312752,0.9166666666666666
normalized,4.0,"0.25,0.75",ALL,12,0.032395642483606935,0.014583896845579147,0.9166666666666666
normalized,8.0,"0.25,0.75",ALL,12,0.010984196754482886,0.005325892940163612,1.0
normalized,16.0,"0.25,0.75",ALL,12,0.00326346197592405,0.0016678392421454191,1.0
current,0.0,"0.00,1.00",ALL,12,0.5513701854894558,0.15455373376607895,0.6666666666666666
current,0.001,"0.00,1.00",ALL,12,0.5643098664780458,0.16171639785170555,0.6666666666666666
current,0.01,"0.00,1.00",ALL,12,0.6597933853045106,0.21592576801776886,0.8333333333333334
current,0.05,"0.00,1.00",ALL,12,0.8634311022857825,0.3809080123901367,1.0
current,0.1,"0.00,1.00",ALL,12,0.9793311357498169,0.4914213716983795,1.0
current,0.25,"0.00,1.00",ALL,12,1.1690647800763447,0.7182620763778687,1.0
current,0.5,"0.00,1.00",ALL,12,1.3333105444908142,0.9428497850894928,1.0
current,0.75,"0.00,1.00",ALL,12,1.4274606357018154,1.0657049417495728,1.0
current,1.0,"0.00,1.00",ALL,12,1.4879592309395473,1.1403224468231201,1.0
current,1.5,"0.00,1.00",ALL,12,1.5569544186194737,1.2241308689117432,1.0
current,2.0,"0.00,1.00",ALL,12,1.5942375709613164,1.2687649130821228,1.0
current,4.0,"0.00,1.00",ALL,12,1.651701698700587,1.3314439058303833,1.0
current,8.0,"0.00,1.00",ALL,12,1.6731532514095306,1.3547083139419556,1.0
current,16.0,"0.00,1.00",ALL,12,1.6787617206573486,1.3615318536758423,1.0
normalized,0.0,"0.00,1.00",ALL,12,0.12626047184069952,-0.2200498878955841,0.4166666666666667
normalized,0.001,"0.00,1.00",ALL,12,0.13685321559508642,-0.21152657270431519,0.4166666666666667
normalized,0.01,"0.00,1.00",ALL,12,0.2110372173289458,-0.15072467923164368,0.4166666666666667
normalized,0.05,"0.00,1.00",ALL,12,0.32723894342780113,-0.01666848361492157,0.5
normalized,0.1,"0.00,1.00",ALL,12,0.35040173431237537,0.04357820749282837,0.5
normalized,0.25,"0.00,1.00",ALL,12,0.32925286640723544,0.09282521903514862,0.6666666666666666
normalized,0.5,"0.00,1.00",ALL,12,0.2680781278759241,0.10162793099880219,0.6666666666666666
normalized,0.75,"0.00,1.00",ALL,12,0.21713464645047983,0.09225825220346451,0.8333333333333334
normalized,1.0,"0.00,1.00",ALL,12,0.1780403840045134,0.08040987700223923,0.8333333333333334
normalized,1.5,"0.00,1.00",ALL,12,0.1250534001737833,0.06013843044638634,0.9166666666666666
normalized,2.0,"0.00,1.00",ALL,12,0.09239113905156653,0.04616289958357811,0.9166666666666666
normalized,4.0,"0.00,1.00",ALL,12,0.037798872450366616,0.0214752908796072,1.0
normalized,8.0,"0.00,1.00",ALL,12,0.012774310812043646,0.007755460683256388,1.0
normalized,16.0,"0.00,1.00",ALL,12,0.003787379309263391,0.0023791086860001087,1.0
current,0.0,ALL,pku_round0_00058,5,-0.10932048410177231,-0.11806154996156693,0.0
current,0.001,ALL,pku_round0_00058,5,-0.10184299647808075,-0.11061739921569824,0.0
current,0.01,ALL,pku_round0_00058,5,-0.04144118279218674,-0.04419926926493645,0.0
current,0.05,ALL,pku_round0_00058,5,0.13685225546360016,0.13442036509513855,1.0
current,0.1,ALL,pku_round0_00058,5,0.27110952138900757,0.27074337005615234,1.0
current,0.25,ALL,pku_round0_00058,5,0.4995028614997864,0.49936676025390625,1.0
current,0.5,ALL,pku_round0_00058,5,0.6847070932388306,0.6841850280761719,1.0
current,0.75,ALL,pku_round0_00058,5,0.7752450585365296,0.7752066850662231,1.0
current,1.0,ALL,pku_round0_00058,5,0.8254852652549743,0.8257386088371277,1.0
current,1.5,ALL,pku_round0_00058,5,0.8767419815063476,0.8763109445571899,1.0
current,2.0,ALL,pku_round0_00058,5,0.9024845719337463,0.9020025134086609,1.0
current,4.0,ALL,pku_round0_00058,5,0.943850314617157,0.943527102470398,1.0
current,8.0,ALL,pku_round0_00058,5,0.9610549211502075,0.9593973159790039,1.0
current,16.0,ALL,pku_round0_00058,5,0.9659944295883178,0.9646505117416382,1.0
normalized,0.0,ALL,pku_round0_00058,5,-0.3798719882965088,-0.3886130452156067,0.0
normalized,0.001,ALL,pku_round0_00058,5,-0.3743261158466339,-0.3830844759941101,0.0
normalized,0.01,ALL,pku_round0_00058,5,-0.3313605129718781,-0.33259904384613037,0.0
normalized,0.05,ALL,pku_round0_00058,5,-0.22726590633392335,-0.23039592802524567,0.0
normalized,0.1,ALL,pku_round0_00058,5,-0.17014041244983674,-0.17212185263633728,0.0
normalized,0.25,ALL,pku_round0_00058,5,-0.0957273155450821,-0.09802258014678955,0.0
