fusion,sample_id,alpha,lambda,mean_nll
current,pku_round0_00058,ALL,0.01,1.5958087921142579
current,pku_round0_00058,"1.00,0.00",0.01,1.5960394144058228
current,pku_round0_00058,"0.75,0.25",0.01,1.5959041118621826
current,pku_round0_00058,"0.50,0.50",0.01,1.5957220792770386
current,pku_round0_00058,"0.25,0.75",0.01,1.595669150352478
current,pku_round0_00058,"0.00,1.00",0.01,1.595709204673767
current,pku_round0_00094,ALL,0.0,1.7504593849182128
current,pku_round0_00094,"1.00,0.00",0.0,1.7023464441299438
current,pku_round0_00094,"0.75,0.25",0.0,1.726402997970581
current,pku_round0_00094,"0.50,0.50",0.0,1.7504594326019287
current,pku_round0_00094,"0.25,0.75",0.0,1.7745157480239868
current,pku_round0_00094,"0.00,1.00",0.0,1.798572301864624
current,pku_round0_00115,ALL,0.0,1.8027161359786987
current,pku_round0_00115,"1.00,0.00",0.0,1.8027161359786987
current,pku_round0_00115,"0.75,0.25",0.0,1.8027161359786987
current,pku_round0_00115,"0.50,0.50",0.0,1.8027161359786987
current,pku_round0_00115,"0.25,0.75",0.0,1.8027161359786987
current,pku_round0_00115,"0.00,1.00",0.0,1.8027161359786987
current,pku_round0_00123,ALL,0.0,1.7737606763839722
current,pku_round0_00123,"1.00,0.00",0.0,1.7737606763839722
current,pku_round0_00123,"0.75,0.25",0.0,1.7737606763839722
current,pku_round0_00123,"0.50,0.50",0.0,1.7737606763839722
current,pku_round0_00123,"0.25,0.75",0.0,1.7737606763839722
current,pku_round0_00123,"0.00,1.00",0.0,1.7737606763839722
current,pku_round0_00126,ALL,0.001,1.8162291288375854
current,pku_round0_00126,"1.00,0.00",0.0,1.8162339925765991
current,pku_round0_00126,"0.75,0.25",0.0,1.8162339925765991
current,pku_round0_00126,"0.50,0.50",0.0,1.8162339925765991
current,pku_round0_00126,"0.25,0.75",0.001,1.8162274360656738
current,pku_round0_00126,"0.00,1.00",0.01,1.8161741495132446
current,pku_round0_00146,ALL,0.0,2.0317835092544554
current,pku_round0_00146,"1.00,0.00",0.05,2.2216789722442627
current,pku_round0_00146,"0.75,0.25",0.01,2.1282505989074707
current,pku_round0_00146,"0.50,0.50",0.0,2.0317835807800293
current,pku_round0_00146,"0.25,0.75",0.0,1.9346859455108643
current,pku_round0_00146,"0.00,1.00",0.0,1.8375884294509888
current,pku_round0_00198,ALL,0.01,1.795221495628357
current,pku_round0_00198,"1.00,0.00",0.05,1.7941694259643555
current,pku_round0_00198,"0.75,0.25",0.01,1.7944062948226929
current,pku_round0_00198,"0.50,0.50",0.01,1.7947189807891846
current,pku_round0_00198,"0.25,0.75",0.01,1.795728087425232
current,pku_round0_00198,"0.00,1.00",0.0,1.7959457635879517
current,pku_round0_00203,ALL,0.01,1.8490857362747193
current,pku_round0_00203,"1.00,0.00",0.01,1.8490748405456543
current,pku_round0_00203,"0.75,0.25",0.01,1.8490984439849854
current,pku_round0_00203,"0.50,0.50",0.01,1.8491593599319458
current,pku_round0_00203,"0.25,0.75",0.01,1.8490431308746338
current,pku_round0_00203,"0.00,1.00",0.01,1.849052906036377
current,pku_round0_00209,ALL,0.0,1.5677165508270263
current,pku_round0_00209,"1.00,0.00",0.0,1.7100887298583984
current,pku_round0_00209,"0.75,0.25",0.0,1.6389026641845703
current,pku_round0_00209,"0.50,0.50",0.0,1.5677165985107422
current,pku_round0_00209,"0.25,0.75",0.0,1.4965304136276245
current,pku_round0_00209,"0.00,1.00",0.0,1.4253443479537964
current,pku_round0_00217,ALL,0.05,1.1744230747222901
current,pku_round0_00217,"1.00,0.00",0.05,1.1713312864303589
current,pku_round0_00217,"0.75,0.25",0.05,1.171653389930725
current,pku_round0_00217,"0.50,0.50",0.05,1.1723589897155762
current,pku_round0_00217,"0.25,0.75",0.01,1.1750173568725586
current,pku_round0_00217,"0.00,1.00",0.01,1.1760846376419067
current,pku_round0_00233,ALL,0.0,1.3107327222824097
current,pku_round0_00233,"1.00,0.00",0.0,1.3107327222824097
current,pku_round0_00233,"0.75,0.25",0.0,1.3107327222824097
current,pku_round0_00233,"0.50,0.50",0.0,1.3107327222824097
current,pku_round0_00233,"0.25,0.75",0.0,1.3107327222824097
current,pku_round0_00233,"0.00,1.00",0.0,1.3107327222824097
current,pku_round0_00250,ALL,0.0,1.2270382642745972
current,pku_round0_00250,"1.00,0.00",0.0,1.2270382642745972
current,pku_round0_00250,"0.75,0.25",0.0,1.2270382642745972
current,pku_round0_00250,"0.50,0.50",0.0,1.2270382642745972
current,pku_round0_00250,"0.25,0.75",0.0,1.2270382642745972
current,pku_round0_00250,"0.00,1.00",0.0,1.2270382642745972
normalized,pku_round0_00058,ALL,2.0,1.5189210176467896
normalized,pku_round0_00058,"1.00,0.00",4.0,1.5120888948440552
normalized,pku_round0_00058,"0.75,0.25",2.0,1.5148309469223022
normalized,pku_round0_00058,"0.50,0.50",2.0,1.5156885385513306
normalized,pku_round0_00058,"0.25,0.75",2.0,1.52036452293396
normalized,pku_round0_00058,"0.00,1.00",1.5,1.530321717262268
normalized,pku_round0_00094,ALL,0.0,1.7504593849182128
normalized,pku_round0_00094,"1.00,0.00",2.0,1.6012628078460693
normalized,pku_round0_00094,"0.75,0.25",0.0,1.726402997970581
normalized,pku_round0_00094,"0.50,0.50",0.0,1.7504594326019287
normalized,pku_round0_00094,"0.25,0.75",0.0,1.7745157480239868
normalized,pku_round0_00094,"0.00,1.00",0.0,1.798572301864624
normalized,pku_round0_00115,ALL,0.0,1.8027161359786987
normalized,pku_round0_00115,"1.00,0.00",0.0,1.8027161359786987
normalized,pku_round0_00115,"0.75,0.25",0.0,1.8027161359786987
normalized,pku_round0_00115,"0.50,0.50",0.0,1.8027161359786987
normalized,pku_round0_00115,"0.25,0.75",0.0,1.8027161359786987
normalized,pku_round0_00115,"0.00,1.00",0.0,1.8027161359786987
normalized,pku_round0_00123,ALL,0.0,1.7737606763839722
normalized,pku_round0_00123,"1.00,0.00",0.0,1.7737606763839722
normalized,pku_round0_00123,"0.75,0.25",0.0,1.7737606763839722
normalized,pku_round0_00123,"0.50,0.50",0.0,1.7737606763839722
normalized,pku_round0_00123,"0.25,0.75",0.0,1.7737606763839722
normalized,pku_round0_00123,"0.00,1.00",0.0,1.7737606763839722
normalized,pku_round0_00126,ALL,0.25,1.796865701675415
normalized,pku_round0_00126,"1.00,0.00",0.5,1.7884434461593628
normalized,pku_round0_00126,"0.75,0.25",0.5,1.7938196659088135
normalized,pku_round0_00126,"0.50,0.50",0.25,1.7985178232192993
normalized,pku_round0_00126,"0.25,0.75",0.25,1.7989776134490967
normalized,pku_round0_00126,"0.00,1.00",0.25,1.801234483718872
normalized,pku_round0_00146,ALL,0.1,2.0223233222961428
normalized,pku_round0_00146,"1.00,0.00",2.0,1.9979051351547241
normalized,pku_round0_00146,"0.75,0.25",1.5,2.0036542415618896
normalized,pku_round0_00146,"0.50,0.50",0.1,2.023958921432495
