fusion,sample_id,best_prompt_lambda,num_distinct_alpha_optima,optimal_changes_with_alpha
current,pku_round0_00058,0.01,1,False
current,pku_round0_00094,0.0,1,False
current,pku_round0_00115,0.0,1,False
current,pku_round0_00123,0.0,1,False
current,pku_round0_00126,0.001,3,True
current,pku_round0_00146,0.0,3,True
current,pku_round0_00198,0.01,3,True
current,pku_round0_00203,0.01,1,False
current,pku_round0_00209,0.0,1,False
current,pku_round0_00217,0.05,2,True
current,pku_round0_00233,0.0,1,False
current,pku_round0_00250,0.0,1,False
normalized,pku_round0_00058,2.0,3,True
normalized,pku_round0_00094,0.0,2,True
normalized,pku_round0_00115,0.0,1,False
normalized,pku_round0_00123,0.0,1,False
normalized,pku_round0_00126,0.25,2,True
normalized,pku_round0_00146,0.1,5,True
normalized,pku_round0_00198,0.25,4,True
normalized,pku_round0_00203,4.0,2,True
normalized,pku_round0_00209,0.5,4,True
normalized,pku_round0_00217,1.0,3,True
normalized,pku_round0_00233,1.0,3,True
normalized,pku_round0_00250,0.0,1,False
