method,alpha,n,mip,pcs,candidate_regret
base,"1.00,0.00",12,0.40081390125243976,0.4691729423838288,0.25784811647905287
base,"0.75,0.25",12,0.48305301774775256,0.7176399383125374,0.18040654443912998
base,"0.50,0.50",12,0.5652921342430653,0.9411809472178878,0.1188114249757107
base,"0.25,0.75",12,0.6475312507383781,0.9659957233729336,0.1129187750768282
base,"0.00,1.00",12,0.729770367233691,0.8618579178188643,0.10100565604529513
normalized_0.01,"1.00,0.00",12,0.40081390125243976,0.4691729423838288,0.25784811647905287
normalized_0.01,"0.75,0.25",12,0.48305301774775256,0.7176399383125374,0.18040654443912998
normalized_0.01,"0.50,0.50",12,0.5652921342430653,0.9411809472178878,0.1188114249757107
normalized_0.01,"0.25,0.75",12,0.6475312507383781,0.9659957233729336,0.1129187750768282
normalized_0.01,"0.00,1.00",12,0.729770367233691,0.8618579178188643,0.10100565604529513
normalized_0.05,"1.00,0.00",12,0.40182458214499206,0.47462875631248647,0.2568374355865005
normalized_0.05,"0.75,0.25",12,0.48026856151446967,0.7192988009875106,0.1831910006724129
normalized_0.05,"0.50,0.50",12,0.5587125408839473,0.9371745908727734,0.12539101833482882
normalized_0.05,"0.25,0.75",12,0.6405907615205236,0.9570169881520723,0.11985926429468274
normalized_0.05,"0.00,1.00",12,0.7173361713785065,0.8476958707919346,0.11343985190047966
normalized_0.1,"1.00,0.00",12,0.4145716806116717,0.4821620456169241,0.24409033711982087
normalized_0.1,"0.75,0.25",12,0.5161818383579031,0.7760720036329807,0.1472777238289794
normalized_0.1,"0.50,0.50",12,0.5748567200668795,0.9563596506843733,0.10924683915189652
normalized_0.1,"0.25,0.75",12,0.6471159723786459,0.9303679463164067,0.11333405343656042
normalized_0.1,"0.00,1.00",12,0.7085142608011505,0.8120363362159434,0.1222617624778356
normalized_0.5,"1.00,0.00",12,0.5024236402100934,0.5954523608393498,0.15623837752139919
normalized_0.5,"0.75,0.25",12,0.5672599129252213,0.8442546007517077,0.09619964926166125
normalized_0.5,"0.50,0.50",12,0.6129266332955569,0.9847593635396615,0.07117692592321918
normalized_0.5,"0.25,0.75",12,0.641932688165195,0.9265450682439116,0.11851733765001143
normalized_0.5,"0.00,1.00",12,0.6905402705079666,0.7879056423318187,0.14023575277101952
normalized_1,"1.00,0.00",12,0.5309210873722309,0.658609688636115,0.12774093035926173
normalized_1,"0.75,0.25",12,0.5546412466421891,0.8279337667057179,0.10881831554469348
normalized_1,"0.50,0.50",12,0.6115164366791987,0.9875901817559132,0.07258712253957736
normalized_1,"0.25,0.75",12,0.6665520173540661,0.9212896565639348,0.09389800846114027
normalized_1,"0.00,1.00",12,0.7157701517493901,0.7785425302331136,0.1150058715295961
normalized_2,"1.00,0.00",12,0.6156296588380183,0.7042735778861434,0.043032358893474225
normalized_2,"0.75,0.25",12,0.6038700572698315,0.8838277663090052,0.05958950491705107
normalized_2,"0.50,0.50",12,0.5786901648831412,0.9805881602350854,0.10541339433563486
normalized_2,"0.25,0.75",12,0.6733467342724684,0.9157361082422241,0.087103291542738
normalized_2,"0.00,1.00",12,0.720677013253955,0.7719810105405751,0.11009901002503125
normalized_guide_only,"1.00,0.00",12,0.6194754508494841,0.706738669357277,0.039186566882008535
normalized_guide_only,"0.75,0.25",12,0.6043045287226951,0.8800731997346222,0.059155033464187386
normalized_guide_only,"0.50,0.50",12,0.5783732929263411,0.9843616931063841,0.10573026629243493
normalized_guide_only,"0.25,0.75",12,0.6882172046944013,0.9241178508100277,0.0722328211208051
normalized_guide_only,"0.00,1.00",12,0.7440136420145944,0.7818696080216633,0.08676238126439172
current_0.010731,"1.00,0.00",12,0.40081390125243976,0.4691729423838288,0.25784811647905287
current_0.010731,"0.75,0.25",12,0.48305301774775256,0.7176399383125374,0.18040654443912998
current_0.010731,"0.50,0.50",12,0.5652921342430653,0.9411809472178878,0.1188114249757107
current_0.010731,"0.25,0.75",12,0.6475312507383781,0.9659957233729336,0.1129187750768282
current_0.010731,"0.00,1.00",12,0.729770367233691,0.8618579178188643,0.10100565604529513
current_1,"1.00,0.00",12,0.5309210873722309,0.658609688636115,0.12774093035926173
current_1,"0.75,0.25",12,0.5546412466421891,0.8279337667057179,0.10881831554469348
current_1,"0.50,0.50",12,0.6115164366791987,0.9875901817559132,0.07258712253957736
current_1,"0.25,0.75",12,0.6665520173540661,0.9212896565639348,0.09389800846114027
current_1,"0.00,1.00",12,0.7157701517493901,0.7785425302331136,0.1150058715295961
