method,fusion,lambda,n,mean_helpfulness,mean_harmlessness,mip,pcs,candidate_regret
base,base,0.0,60,0.40081390125243976,0.729770367233691,0.5652921342430653,0.7911694938212104,0.1541981034032034
normalized_0.01,normalized,0.01,60,0.40081390125243976,0.729770367233691,0.5652921342430653,0.7911694938212104,0.1541981034032034
normalized_0.05,normalized,0.05,60,0.4052365620656253,0.716294768325144,0.5597465234884879,0.7871630014233555,0.15974371415778094
normalized_0.1,normalized,0.1,60,0.4490881562434732,0.7021233346947263,0.5722480944432502,0.7913995964933256,0.14724214320301857
normalized_0.5,normalized,0.5,60,0.5219932742808735,0.6784555580333466,0.6030166290208067,0.8277834071412898,0.11647360862546212
normalized_1,normalized,1.0,60,0.5462551192358696,0.671097614805943,0.615880187959415,0.8347931647789589,0.10361004968685379
normalized_2,normalized,2.0,60,0.5818972521408149,0.6585316122986412,0.6384427257034828,0.8512813246426066,0.08104751194278588
normalized_guide_only,guide_only,None,60,0.5832141000661015,0.6683774387101677,0.6468768238415032,0.8554322042059949,0.07261341380476553
current_0.010731,current,0.010731,60,0.40081390125243976,0.729770367233691,0.5652921342430653,0.7911694938212104,0.1541981034032034
current_1,current,1.0,60,0.5462551192358696,0.671097614805943,0.615880187959415,0.8347931647789589,0.10361004968685379
