row_type,sample_id,alpha_a,alpha_b,guide_alpha,entropy,top1_token_id,topk_token_ids,topk_probabilities,logprob_storage_key,kl_a_to_b,kl_b_to_a,js_divergence,mean_abs_logprob_diff,max_abs_logprob_diff,top1_changed,topk_overlap,internal_w2_max_abs_diff,internal_w2_mean_abs_diff,internal_w2_l2_diff
distribution,pku_round0_00058,"[0.0, 1.0]",,"[1.0, 0.0]",2.7217400074005127,1670,"[1670, 9267, 3834, 21882, 13103, 2266, 450, 29871, 315, 7849, 5806, 3929, 319, 360, 317, 518, 739, 306, 1876, 838]","[0.22179797291755676, 0.2183593064546585, 0.10559166222810745, 0.07605481892824173, 0.06111176684498787, 0.046129580587148666, 0.04401715472340584, 0.039766184985637665, 0.032203637063503265, 0.022306807339191437, 0.020469877868890762, 0.006750250700861216, 0.006645597983151674, 0.0065938811749219894, 0.006542567629367113, 0.006491652689874172, 0.005819079931825399, 0.004062372259795666, 0.003846176899969578, 0.003420860506594181]","pku_round0_00058|0.00,1.00",,,,,,,,,,
distribution,pku_round0_00058,"[0.25, 0.75]",,"[0.75, 0.25]",2.7162346839904785,1670,"[1670, 9267, 3834, 21882, 13103, 2266, 450, 29871, 315, 7849, 5806, 319, 360, 3929, 518, 317, 739, 306, 1876, 838]","[0.23388327658176422, 0.2096516191959381, 0.10297741740942001, 0.07593078166246414, 0.06101210042834282, 0.047146495431661606, 0.04429003596305847, 0.0381803959608078, 0.032913558185100555, 0.02192515693604946, 0.0209211315959692, 0.006739238742738962, 0.006583124399185181, 0.00648106262087822, 0.00638058315962553, 0.006281661335378885, 0.005543546751141548, 0.004119614139199257, 0.003810020163655281, 0.003258882788941264]","pku_round0_00058|0.25,0.75",,,,,,,,,,
distribution,pku_round0_00058,"[0.5, 0.5]",,"[0.5, 0.5]",2.714747428894043,1670,"[1670, 9267, 3834, 21882, 13103, 2266, 29871, 450, 315, 5806, 7849, 319, 3929, 518, 360, 317, 739, 306, 1876, 887]","[0.24626509845256805, 0.19943155348300934, 0.1018596738576889, 0.07510661333799362, 0.05988021194934845, 0.047740668058395386, 0.04346837103366852, 0.04313009977340698, 0.0305838193744421, 0.021687176078557968, 0.019592730328440666, 0.00682417256757617, 0.006614214740693569, 0.006213479675352573, 0.006213479675352573, 0.005882804282009602, 0.0055263834074139595, 0.004406016785651445, 0.0036813649348914623, 0.0033782103564590216]","pku_round0_00058|0.50,0.50",,,,,,,,,,
distribution,pku_round0_00058,"[0.75, 0.25]",,"[0.25, 0.75]",2.712951421737671,1670,"[1670, 9267, 3834, 21882, 13103, 2266, 29871, 450, 315, 5806, 7849, 319, 3929, 518, 360, 317, 739, 306, 1876, 887]","[0.2587931454181671, 0.19082210958003998, 0.09822681546211243, 0.07299596816301346, 0.057295192033052444, 0.049778927117586136, 0.04567971080541611, 0.04358788579702377, 0.02949303761124611, 0.022089265286922455, 0.019800689071416855, 0.006950695533305407, 0.0065807863138616085, 0.006182076409459114, 0.005991874262690544, 0.005717486143112183, 0.005455663427710533, 0.004630161449313164, 0.0034678305964916945, 0.0034408438950777054]","pku_round0_00058|0.75,0.25",,,,,,,,,,
distribution,pku_round0_00058,"[1.0, 0.0]",,"[0.0, 1.0]",2.7102155685424805,1670,"[1670, 9267, 3834, 21882, 13103, 2266, 29871, 450, 315, 5806, 7849, 319, 3929, 360, 518, 739, 317, 306, 887, 1876]","[0.26998668909072876, 0.18126048147678375, 0.09626670926809311, 0.07323585450649261, 0.05659228190779686, 0.04916822537779808, 0.04878559708595276, 0.04271809384226799, 0.02867957204580307, 0.022865349426865578, 0.018808523193001747, 0.006973539013415575, 0.006300067529082298, 0.006058715749531984, 0.005964783951640129, 0.0054309978149831295, 0.005305188708007336, 0.0049064974300563335, 0.0036461993586272, 0.003425287315621972]","pku_round0_00058|1.00,0.00",,,,,,,,,,
pairwise,pku_round0_00058,"[0.0, 1.0]","[0.25, 0.75]",,,,,,,0.0006870138458907604,0.0006890060612931848,0.0001719844003673643,0.030374417081475258,0.2125701904296875,0,1.0,0.12363937497138977,0.04125697538256645,1.9881033897399902
pairwise,pku_round0_00058,"[0.0, 1.0]","[0.5, 0.5]",,,,,,,0.0031670315656811,0.0031785941682755947,0.0007927876431494951,0.061767831444740295,0.3624544143676758,0,0.95,0.24727874994277954,0.0825139582157135,3.9762070178985596
pairwise,pku_round0_00058,"[0.0, 1.0]","[0.75, 0.25]",,,,,,,0.006979014724493027,0.007045615464448929,0.0017513937782496214,0.08886905014514923,0.525355339050293,0,0.95,0.3709181547164917,0.12377092242240906,5.964310169219971
pairwise,pku_round0_00058,"[0.0, 1.0]","[1.0, 0.0]",,,,,,,0.01221824623644352,0.012347044423222542,0.003065231256186962,0.1184375137090683,0.7044181823730469,0,0.95,0.4945574998855591,0.1650279015302658,7.952414035797119
pairwise,pku_round0_00058,"[0.25, 0.75]","[0.5, 0.5]",,,,,,,0.0013779760338366032,0.0013865274377167225,0.00034542009234428406,0.037683457136154175,0.20588302612304688,0,0.95,0.12363938242197037,0.04125697538256645,1.9881033897399902
pairwise,pku_round0_00058,"[0.25, 0.75]","[0.75, 0.25]",,,,,,,0.004014668054878712,0.004057456739246845,0.0010083781089633703,0.06424079835414886,0.35511302947998047,0,0.95,0.24727876484394073,0.0825139507651329,3.9762067794799805
pairwise,pku_round0_00058,"[0.25, 0.75]","[1.0, 0.0]",,,,,,,0.00815847422927618,0.008265646174550056,0.0020503662526607513,0.09370363503694534,0.5341758728027344,0,0.95,0.3709181547164917,0.12377092242240906,5.964310169219971
pairwise,pku_round0_00058,"[0.5, 0.5]","[0.75, 0.25]",,,,,,,0.0008765020174905658,0.0008784254314377904,0.00021934972028248012,0.030581427738070488,0.1769428253173828,0,1.0,0.12363938242197037,0.04125697538256645,1.9881033897399902
pairwise,pku_round0_00058,"[0.5, 0.5]","[1.0, 0.0]",,,,,,,0.003089028177782893,0.0031040103640407324,0.000773759966250509,0.060030337423086166,0.3572549819946289,0,1.0,0.24727874994277954,0.0825139507651329,3.9762070178985596
pairwise,pku_round0_00058,"[0.75, 0.25]","[1.0, 0.0]",,,,,,,0.0008138802368193865,0.0008150693029165268,0.0002035516663454473,0.03374896198511124,0.1966400146484375,0,1.0,0.12363937497138977,0.04125697538256645,1.9881035089492798
distribution,pku_round0_00094,"[0.0, 1.0]",,"[1.0, 0.0]",2.7799766063690186,739,"[739, 1670, 306, 5806, 2266, 29871, 323, 5674, 450, 1763, 1094, 18637, 887, 3824, 319, 6324, 3148, 2193, 11511, 960]","[0.37008458375930786, 0.1289009153842926, 0.06583614647388458, 0.05764805153012276, 0.05500815808773041, 0.033889543265104294, 0.030378390103578568, 0.02944374457001686, 0.01871558278799057, 0.01730908453464508, 0.015275213867425919, 0.013065582141280174, 0.012273978441953659, 0.011989652179181576, 0.009939771145582199, 0.009939771145582199, 0.009785668924450874, 0.007621086668223143, 0.006725585553795099, 0.0065697873942554]","pku_round0_00094|0.00,1.00",,,,,,,,,,
