alpha_helpfulness,alpha_harmlessness,epoch1_helpfulness,epoch1_harmlessness,epoch2_helpfulness,epoch2_harmlessness
0.0,1.0,0.5259706587731997,0.6640379330670683,0.519372326232094,0.7234607436463452
0.05,0.95,0.5245506415692588,0.6458094645841529,0.4905134579651277,0.6851003098213233
0.1,0.9,0.5313380284067585,0.6499126317648916,0.5255495065682865,0.678097461544822
0.15,0.85,0.5321362342139663,0.657757215592043,0.5614208713242445,0.7282891736678183
0.2,0.8,0.49874958306775713,0.6571668261918662,0.5197795525624961,0.6861773398212482
0.25,0.75,0.5019850279125165,0.6444382186464077,0.5217663106594215,0.6749622902473308
0.3,0.7,0.535223347395372,0.6388718018747134,0.5561446528693041,0.6497117897474574
0.35,0.65,0.5551010562733618,0.6288093427478257,0.5647774290776312,0.6515612589294439
0.4,0.6,0.5211404902988139,0.6186811107965151,0.5665472811291403,0.6188200950385992
0.45,0.55,0.532887598443273,0.6218812719086146,0.5804400289388113,0.5946524971122598
0.5,0.5,0.5539435207041463,0.6351924387561043,0.549789812134045,0.6009339975970994
0.55,0.45,0.5447672133936867,0.6234848760088297,0.5402501660977033,0.572877385674303
0.6,0.4,0.5344974084369531,0.6263491259104838,0.5369822275457512,0.5650159671361384
0.65,0.35,0.5161464818008232,0.6139713067619474,0.5312219794524988,0.5557500247431102
0.7,0.3,0.5610215574225419,0.6094188877001059,0.535219127433399,0.5632416668963496
0.75,0.25,0.5443417357277511,0.5907331414854886,0.5392871707754467,0.5473622278571089
0.8,0.2,0.5513873842380033,0.599897488355078,0.5436624273491347,0.5405240073941182
0.85,0.15,0.528407159317406,0.5979086434261001,0.5426479484908067,0.5511917331076595
0.9,0.1,0.5414974813578961,0.6100452955517526,0.5601911744052892,0.5631367435811987
0.95,0.05,0.5317195129691248,0.5970418515613842,0.5654627509020591,0.5627693162257172
1.0,0.0,0.5095837024393407,0.5817903863934192,0.5611301159442993,0.5491355493346296
