alignment,coherence,latency_per_token,method,method_family,pareto_frontier_alignment_vs_ppl_degradation,perplexity,ppl_degradation,ppl_model_family,target_probability
0.43,0.5600331157817446,0.04573296239479532,taro,v2_autoregressive_sentiment_guide,0,4.309295843840407,0.24449993231719444,v2_gpt2_medium_conditional,0.4244650708607514
0.44,0.5574856367891207,0.045420484274109184,taro_same_average,v2_autoregressive_sentiment_guide,0,4.397636366938965,0.286407423455805,v2_gpt2_medium_conditional,0.4343371808243683
0.39,0.5535229744556606,0.030967649147091,v1_base,v1_rad_scalar_reward,1,6.80876336991787,0.0,v1_gpt2_large_full_sequence,0.38915936885896374
0.74,0.5155344631782284,0.030704424147974967,v1_fixed,v1_rad_scalar_reward,1,10.32533757865429,0.6184777420273245,v1_gpt2_large_full_sequence,0.740205751429894
0.61,0.521128920917958,0.030833639139158445,v1_heuristic,v1_rad_scalar_reward,0,8.778539449572563,0.39455789310912437,v1_gpt2_large_full_sequence,0.6162757850671187
0.64,0.5334950898324315,0.03348601751845927,v1_router,v1_rad_scalar_reward,1,7.541766005158425,0.11107255578280045,v1_gpt2_large_full_sequence,0.639736311394372
0.35,0.5544573493833035,0.014540916577752796,v2_base,v2_autoregressive_sentiment_guide,0,3.6898758790554314,0.0,v2_gpt2_medium_conditional,0.3461990942730335
0.47,0.5504490768910687,0.04541448096319073,v2_fixed,v2_autoregressive_sentiment_guide,0,4.652389184060627,0.37319064970802684,v2_gpt2_medium_conditional,0.46810372541862305
0.375,0.5600337048868994,0.046432364872744075,v2_heuristic,v2_autoregressive_sentiment_guide,0,3.7620768927152337,0.03587202120754427,v2_gpt2_medium_conditional,0.3677101689975825
0.455,0.5550400721622682,0.053898257899309104,v2_history,v2_autoregressive_sentiment_guide,0,4.537344985348015,0.3297451936122017,v2_gpt2_medium_conditional,0.4516150066969567
0.44,0.554531297524584,0.04543134068204381,v2_same_average,v2_autoregressive_sentiment_guide,0,4.606927527778443,0.3522176685425852,v2_gpt2_medium_conditional,0.4354144787817495
0.46,0.5553355267077228,0.047309514019034396,v2_state,v2_autoregressive_sentiment_guide,0,4.555655545706341,0.3339183065142795,v2_gpt2_medium_conditional,0.4565429682773538
