ci95_high,ci95_low,failed_generations,mean,method,metric,n,prompt_sentiment_class,std
0.455,0.325,0,0.39,fixed_beta_0,target_sentiment_success,200,negative,0.4877499359302879
0.45470007270254426,0.32349822432181097,0,0.38915936885896374,fixed_beta_0,independent_sentiment_score,200,negative,0.4747327903564366
0.455,0.325,0,0.39,fixed_beta_0,classifier_sentiment_success,200,negative,0.4877499359302879
0.45470007270254426,0.32349822432181097,0,0.38915936885896374,fixed_beta_0,classifier_target_probability,200,negative,0.4747327903564366
0.045,-0.005,0,0.02,fixed_beta_0,lexicon_sentiment_score,200,negative,0.17204650534085253
0.05,0.005,0,0.025,fixed_beta_0,lexicon_sentiment_success,200,negative,0.15612494995995996
7.3184953182935715,6.33289247572422,0,6.80876336991787,fixed_beta_0,base_lm_perplexity,200,negative,3.382520843305927
0.3532879279976094,0.33566120424564255,0,0.3443229315769617,fixed_beta_0,fluency,200,negative,0.058643734193472824
0.5679764745322208,0.5392935370789569,0,0.5535229744556606,fixed_beta_0,coherence,200,negative,0.10405443926375693
0.3153668958331613,0.27145349454176587,0,0.29286735194613583,fixed_beta_0,repeated_unigram_rate,200,negative,0.15970484307765376
0.16152500709579265,0.11547960154475763,0,0.13605086752582213,fixed_beta_0,repeated_bigram_rate,200,negative,0.15781198061926885
0.11075761007911977,0.06893641248039768,0,0.08714380576463421,fixed_beta_0,repeated_trigram_rate,200,negative,0.1397938473507199
0.7179665984322832,0.6714636416220859,0,0.697132648053864,fixed_beta_0,distinct_1,200,negative,0.1718961601186463
0.8760856845859095,0.8268157874038861,0,0.853949132474178,fixed_beta_0,distinct_2,200,negative,0.17911896570843647
0.9235871849302293,0.8782933928582974,0,0.9028561942353656,fixed_beta_0,distinct_3,200,negative,0.16643149834638782
31.79,30.775,0,31.325,fixed_beta_0,generation_length,200,negative,3.676870272391997
0.0,0.0,0,0.0,fixed_beta_0,eos_rate,200,negative,0.0
0.032590754476640935,0.03051850214002032,0,0.03153582623984117,fixed_beta_0,latency_per_token,200,negative,0.007564335486958076
1.0247198287217179,0.9482888490648474,0,0.9859444440511288,fixed_beta_0,total_latency,200,negative,0.26430795940045915
0.635,0.495,0,0.565,fixed_beta_10,target_sentiment_success,200,negative,0.4957569969249047
0.6340600255833124,0.5004659060301492,0,0.5677729134511901,fixed_beta_10,independent_sentiment_score,200,negative,0.4843794031530539
0.635,0.495,0,0.565,fixed_beta_10,classifier_sentiment_success,200,negative,0.4957569969249047
0.6340600255833124,0.5004659060301492,0,0.5677729134511901,fixed_beta_10,classifier_target_probability,200,negative,0.4843794031530539
0.14,0.055,0,0.1,fixed_beta_10,lexicon_sentiment_score,200,negative,0.31622776601683794
